Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,17.3,2.8,0,17.3,0,0
1,1,1,0,0,17.1,2.4,0,17.1,0,0
1,1,2,0,0,16.7,1.9,0,16.7,0,0
1,1,3,0,0,16.5,1.5,0,16.5,0,0
1,1,4,0,0,16.4,1.4,0,16.4,0,0
1,1,5,0,0,12.4,1.6,0,12.4,0,0
1,1,6,128,26,14,2.2,66.641,13.851,212.621,188.18
1,1,7,575,84,17.6,2.5,346.699,24.875,1119.561,1073.193
1,1,8,795,104,21.8,2.7,626.162,36.359,2000.013,1925.045
1,1,9,900,112,24.6,2.8,847.703,44.726,2631.033,2531.134
1,1,10,966,109,26.5,2.8,1000.641,50.518,3023.482,2906.211
1,1,11,1006,100,27.7,2.8,1082.03,53.816,3214.242,3088.01
1,1,12,1006,97,28.5,2.6,1071.699,55.103,3161.045,3037.346
1,1,13,980,96,28.6,2.5,978.969,53.38,2911.448,2799.282
1,1,14,923,91,28.2,2.5,807.75,48.854,2448.436,2356.132
1,1,15,830,78,26.7,2.1,581.977,42.513,1788.031,1720.607
1,1,16,625,57,23.1,1.4,307.57,32.531,929.357,888.221
1,1,17,8,5,19.7,1.3,6.655,19.178,21.72,0.92
1,1,18,0,0,18.4,1.6,0,18.4,0,0
1,1,19,0,0,17.7,2,0,17.7,0,0
1,1,20,0,0,17,2.4,0,17,0,0
1,1,21,0,0,16.4,2.8,0,16.4,0,0
1,1,22,0,0,15.7,2.9,0,15.7,0,0
1,1,23,0,0,15,2.7,0,15,0,0
1,2,0,0,0,14.2,2.4,0,14.2,0,0
1,2,1,0,0,13.5,1.9,0,13.5,0,0
1,2,2,0,0,12.9,1.5,0,12.9,0,0
1,2,3,0,0,12.6,1.2,0,12.6,0,0
1,2,4,0,0,12.5,1.1,0,12.5,0,0
1,2,5,0,0,12.7,1.2,0,12.7,0,0
